mol_pred_loaded,sanitization,inchi_convertible,all_atoms_connected,bond_lengths,bond_angles,internal_steric_clash,aromatic_ring_flatness,non-aromatic_ring_non-flatness,double_bond_flatness,passed_all_checks
True,True,True,True,True,False,True,True,True,True,False
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,False,True,True,True,True,False
True,True,True,True,False,False,True,True,True,True,False
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,False,True,True,True,True,False
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,False,False,True,True,True,True,False
True,True,True,True,True,False,True,True,True,True,False
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,False,True,True,False,True,False
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,False,True,True,True,True,False
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,False,True,True,True,False
True,True,True,True,False,True,True,True,True,True,False
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,False,False,True,True,True,True,False
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True
