"trainer/global_step","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - _step","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - _step__MIN","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - _step__MAX","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - train/approx_kl_epoch","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - train/approx_kl_epoch__MIN","egnn_3_4_oxygen_test_lr_1e-3_clip_0.1_entropy_0.001_seed_123 - train/approx_kl_epoch__MAX"
"0","16","16","16","0.0032235702965408564","0.0032235702965408564","0.0032235702965408564"
"1","30","30","30","0.00326895946636796","0.00326895946636796","0.00326895946636796"
"2","44","44","44","0.001518945675343275","0.001518945675343275","0.001518945675343275"
"3","58","58","58","0.0032223889138549566","0.0032223889138549566","0.0032223889138549566"
"4","72","72","72","0.0013606708962470293","0.0013606708962470293","0.0013606708962470293"
"5","86","86","86","0.0011204201728105545","0.0011204201728105545","0.0011204201728105545"
"6","100","100","100","0.0018831135239452124","0.0018831135239452124","0.0018831135239452124"
"7","114","114","114","0.003722395747900009","0.003722395747900009","0.003722395747900009"
"8","128","128","128","0.0019156780326738954","0.0019156780326738954","0.0019156780326738954"
"9","142","142","142","0.0017427289858460426","0.0017427289858460426","0.0017427289858460426"
"10","156","156","156","0.0008420150843448937","0.0008420150843448937","0.0008420150843448937"
"11","170","170","170","0.000811321078799665","0.000811321078799665","0.000811321078799665"
"12","184","184","184","0.0007859822362661362","0.0007859822362661362","0.0007859822362661362"
"13","198","198","198","0.0009180984925478697","0.0009180984925478697","0.0009180984925478697"
"14","212","212","212","0.0010047389660030603","0.0010047389660030603","0.0010047389660030603"
"15","226","226","226","0.005398865323513746","0.005398865323513746","0.005398865323513746"
"16","240","240","240","0.0006421959260478616","0.0006421959260478616","0.0006421959260478616"
"17","254","254","254","0.0008191976230591536","0.0008191976230591536","0.0008191976230591536"
"18","268","268","268","0.00042998092249035835","0.00042998092249035835","0.00042998092249035835"
"19","282","282","282","0.001022079261019826","0.001022079261019826","0.001022079261019826"
"20","296","296","296","0.0016150197479873896","0.0016150197479873896","0.0016150197479873896"
"21","310","310","310","0.0010734880343079567","0.0010734880343079567","0.0010734880343079567"
"22","324","324","324","0.0006145279621705413","0.0006145279621705413","0.0006145279621705413"
"23","338","338","338","0.0006981836049817502","0.0006981836049817502","0.0006981836049817502"
"24","352","352","352","0.0007195381331257522","0.0007195381331257522","0.0007195381331257522"
"25","366","366","366","0.0005545776220969856","0.0005545776220969856","0.0005545776220969856"
"26","380","380","380","0.0010005391668528318","0.0010005391668528318","0.0010005391668528318"
"27","394","394","394","0.0020556156523525715","0.0020556156523525715","0.0020556156523525715"
"28","408","408","408","0.001479351194575429","0.001479351194575429","0.001479351194575429"
"29","422","422","422","0.0014051832258701324","0.0014051832258701324","0.0014051832258701324"
"30","436","436","436","0.001346939941868186","0.001346939941868186","0.001346939941868186"
"31","450","450","450","0.0006981628248468041","0.0006981628248468041","0.0006981628248468041"
"32","464","464","464","0.0026124645955860615","0.0026124645955860615","0.0026124645955860615"
"33","478","478","478","0.0006186203681863844","0.0006186203681863844","0.0006186203681863844"
"34","492","492","492","0.0007306220941245556","0.0007306220941245556","0.0007306220941245556"
"35","506","506","506","0.0005834985058754683","0.0005834985058754683","0.0005834985058754683"
"36","520","520","520","0.0007191600743681192","0.0007191600743681192","0.0007191600743681192"
"37","534","534","534","0.0014245437923818827","0.0014245437923818827","0.0014245437923818827"
"38","548","548","548","0.001719944179058075","0.001719944179058075","0.001719944179058075"
"39","562","562","562","0.001303577795624733","0.001303577795624733","0.001303577795624733"
"40","576","576","576","0.00041911343578249216","0.00041911343578249216","0.00041911343578249216"
"41","590","590","590","0.000908631132915616","0.000908631132915616","0.000908631132915616"
"42","604","604","604","0.0009282511309720576","0.0009282511309720576","0.0009282511309720576"
"43","618","618","618","0.002353004179894924","0.002353004179894924","0.002353004179894924"
"44","632","632","632","0.0010252618230879307","0.0010252618230879307","0.0010252618230879307"
"45","646","646","646","0.0014269085368141532","0.0014269085368141532","0.0014269085368141532"
"46","660","660","660","0.0015753332991153002","0.0015753332991153002","0.0015753332991153002"
"47","674","674","674","0.0032723909243941307","0.0032723909243941307","0.0032723909243941307"
"48","688","688","688","0.008990682661533356","0.008990682661533356","0.008990682661533356"
"49","702","702","702","0.5582144260406494","0.5582144260406494","0.5582144260406494"
"50","716","716","716","0.1654324233531952","0.1654324233531952","0.1654324233531952"
"51","730","730","730","0.056870490312576294","0.056870490312576294","0.056870490312576294"
"52","744","744","744","0.027270231395959854","0.027270231395959854","0.027270231395959854"
"53","758","758","758","0.021805964410305023","0.021805964410305023","0.021805964410305023"
"54","772","772","772","0.005895158275961876","0.005895158275961876","0.005895158275961876"
"55","786","786","786","0.0035241844598203897","0.0035241844598203897","0.0035241844598203897"
"56","800","800","800","0.006587505340576172","0.006587505340576172","0.006587505340576172"
"57","814","814","814","0.004774909000843763","0.004774909000843763","0.004774909000843763"
"58","828","828","828","0.005913291126489639","0.005913291126489639","0.005913291126489639"
"59","842","842","842","0.006337795406579971","0.006337795406579971","0.006337795406579971"
"60","856","856","856","0.011570656672120094","0.011570656672120094","0.011570656672120094"
"61","870","870","870","0.0037076829466968775","0.0037076829466968775","0.0037076829466968775"
"62","884","884","884","0.20645785331726074","0.20645785331726074","0.20645785331726074"
"63","898","898","898","0.008187676779925823","0.008187676779925823","0.008187676779925823"
"64","912","912","912","0.008770502172410488","0.008770502172410488","0.008770502172410488"
"65","926","926","926","0.017187749966979027","0.017187749966979027","0.017187749966979027"
"66","940","940","940","0.015067954547703266","0.015067954547703266","0.015067954547703266"
"67","954","954","954","0.05867404490709305","0.05867404490709305","0.05867404490709305"
"68","968","968","968","2.3564677238464355","2.3564677238464355","2.3564677238464355"
"69","982","982","982","0.008014153689146042","0.008014153689146042","0.008014153689146042"
"70","996","996","996","0.008158992975950241","0.008158992975950241","0.008158992975950241"
"71","1010","1010","1010","0.039687078446149826","0.039687078446149826","0.039687078446149826"
"72","1024","1024","1024","0.1618163287639618","0.1618163287639618","0.1618163287639618"
"73","1038","1038","1038","0.005670540034770966","0.005670540034770966","0.005670540034770966"
"74","1052","1052","1052","0.004105519037693739","0.004105519037693739","0.004105519037693739"
"75","1066","1066","1066","0.013531009666621685","0.013531009666621685","0.013531009666621685"
"76","1080","1080","1080","0.002679024590179324","0.002679024590179324","0.002679024590179324"
"77","1094","1094","1094","0.0019514609593898058","0.0019514609593898058","0.0019514609593898058"
"78","1108","1108","1108","0.005710075609385967","0.005710075609385967","0.005710075609385967"
"79","1122","1122","1122","0.0025412882678210735","0.0025412882678210735","0.0025412882678210735"
"80","1136","1136","1136","0.0099758580327034","0.0099758580327034","0.0099758580327034"
"81","1150","1150","1150","0.0023227992933243513","0.0023227992933243513","0.0023227992933243513"
"82","1164","1164","1164","0.0036982856690883636","0.0036982856690883636","0.0036982856690883636"
"83","1178","1178","1178","0.0028571193106472492","0.0028571193106472492","0.0028571193106472492"
"84","1192","1192","1192","0.001798237906768918","0.001798237906768918","0.001798237906768918"
"85","1206","1206","1206","0.0018290168372914195","0.0018290168372914195","0.0018290168372914195"
"86","1220","1220","1220","0.0010552064049988985","0.0010552064049988985","0.0010552064049988985"
"87","1234","1234","1234","0.0020196065306663513","0.0020196065306663513","0.0020196065306663513"
"88","1248","1248","1248","0.0009465866023674607","0.0009465866023674607","0.0009465866023674607"
"89","1262","1262","1262","0.00036987531348131597","0.00036987531348131597","0.00036987531348131597"
"90","1276","1276","1276","0.0008731344132684171","0.0008731344132684171","0.0008731344132684171"
"91","1290","1290","1290","0.00389639800414443","0.00389639800414443","0.00389639800414443"
"92","1304","1304","1304","0.0011906306026503444","0.0011906306026503444","0.0011906306026503444"
"93","1318","1318","1318","0.0011925839353352785","0.0011925839353352785","0.0011925839353352785"
"94","1332","1332","1332","0.00128554820548743","0.00128554820548743","0.00128554820548743"
"95","1346","1346","1346","0.00130485650151968","0.00130485650151968","0.00130485650151968"
"96","1360","1360","1360","0.00045015220530331135","0.00045015220530331135","0.00045015220530331135"
"97","1374","1374","1374","0.0025619170628488064","0.0025619170628488064","0.0025619170628488064"
"98","1388","1388","1388","0.0008274352294392884","0.0008274352294392884","0.0008274352294392884"
"99","1404","1404","1404","0.0005325692472979426","0.0005325692472979426","0.0005325692472979426"
