smiles,QED,SA,logP,LipinskiCount
O=C1NN(Cc2ccccc2O)CC[C@@H]1NCCO,0.5809237485845578,3.3154366298284916,-0.4204000000000003,5
CCCCCCCCNC1=N[C@@H](c2ccc(Cl)cc2)S1,0.6507929151313651,2.7814868825051278,5.391500000000004,4
CCCCN(C)[C@H]1CC[C@H]([C@@H](C)[C@H](CC)OC)C(=O)C1,0.6824250453130852,4.004279391138746,3.5172000000000025,5
Cc1ccc(CCC[C@H](CO)c2ccccn2)c(Cl)c1,0.866734184509499,2.7079565181326597,4.142220000000004,5
CO[C@@H]1C=C[C@H]([C@]2(O)C[C@@]23Cc2ccsc2C3)C[C@H]1O,0.8188830595159892,5.3521448891092005,1.9199,5
Cc1cc2cc(N=NC(=O)CCC(C)C)sc2cc1O,0.8086109464772658,3.245611180006822,4.961820000000003,5
O=C(CCNCC#CP(=O)(O)O)[C@H](S)c1ccccc1,0.2755601415118011,3.795533831345761,1.3448999999999995,5
Fc1ccc(C2CC2)cc1,0.5564497806374944,1.4161248611810073,2.703100000000001,5
N#CCN1CCC(CO)CC1,0.5784548531270745,2.358817209746361,0.2142799999999998,5
Nc1ccccc1C[C@H](O)[C@@H](NO)C1=CC=CC=CC1,0.4879141776911245,3.9381557513190666,1.9621,5
C[C@H]1OCc2sc(NCC=C3C[C@H](CN)SCS3)cc21,0.8803845460554194,5.203870158690281,3.7900000000000027,5
CC1=C([C@@H]2CCCS2)S[C@@H]2S[C@H](N[C@@H](O)CCO)CN12,0.6630019533708987,5.364928513945763,1.8092000000000001,5
CC(=CN)CCCCC(=O)NCCc1ccccc1C,0.7157579010657841,2.2728402459408876,3.076620000000002,5
CC[C@H]1C[C@H](CN(CO)c2ccccc2)CC(OC)=N1,0.8409865568925021,3.781635913262387,2.6763000000000012,5
CCNC(CC)c1ccc(-c2ccccc2C)cc1O,0.8413535596075227,2.4738290311459608,4.428220000000003,5
CCCCCC(=O)N[P@@](=O)(O)c1ccc2sccc2c1,0.6344304032928545,3.3616394707064003,3.408500000000001,5
O=C1C=C[C@@H]2[C@@H]([C@H](O)c3ccc4c(c3)=NCC=4)S[C@H]2N1,0.7965008964087759,5.17665596054635,-0.12260000000000049,5
COCCCCC=CC(=O)C[C@@H](O)Cc1ccccc1,0.5277471874083031,2.6687427529504735,2.9221000000000013,5
CC(=O)OC(=O)C(=O)NCCCC(=O)Cc1ccco1,0.3497350525381106,2.6679143967900405,0.3772999999999996,5
OC[C@@H](O)CCCCc1ccc(F)cc1,0.706870991629789,2.2120878380749236,1.8916999999999997,5
CN1CCNCC[C@@H]1C=NC[C@@H]1OC[C@H](Cl)[C@@H](O)[C@H]1O,0.46426481521080765,4.937551592625934,-0.9210999999999985,5
CCC[C@@H](NNCc1ccn([C@@H](C)SCC)c1)C(C)=O,0.651457194844063,4.116342148080202,3.111600000000001,5
CCC[C@H]1C[C@@H]1NNC(=O)OCc1ccc(O)cc1F,0.7008945955881623,3.4247584118164642,2.4506999999999994,5
CCCc1ccc(CNN[C@H](O)C[P@TB1](=O)(O)O)cc1F,0.27742221523942223,3.40560860990054,0.8684999999999998,5
C(=C[C@@H]1OO[C@@H]1CCc1ccccc1)C1CCCCC1,0.5819500627361033,3.493175225003278,4.454700000000003,5
CCN(Cc1ccccc1)Cc1cc(SCCN)no1,0.7579229679567037,2.562486352420615,2.7475000000000005,5
