smiles,QED,SA,logP,LipinskiCount
CC1=NC(=O)C(=C(C)C)C(Cc2ccnc(C)n2)=C1N,0.8318122937937207,3.295620923596566,1.87782,5
CN1CN=C2NCCCC[C@H](C3=CCCCC3)[C@@H]2[C@@H]1N,0.7210185271727261,4.460356685240765,2.0789,5
C=C1[C@@H]2C3=CC=NC=CC3N(CC)[C@H](OC)[C@@H]2CN1C,0.7687663619962862,5.359375911285266,1.879,5
CCN1C(=O)N(CC(C)C)CN(CC2CNNC2)C1=O,0.7709906319359571,3.5867451660208074,0.5034000000000008,5
CCC[C@H]1O[C@H](c2cccnc2C2CC2)C(C)NC1=O,0.9181003604098319,3.9143625965708146,2.7037000000000013,5
CO[C@@H]1C(C)=NC(CC#N)=N[C@H]1[C@H]1C[C@@H]2[C@H]3N[C@H]3[C@]12C,0.782672278162469,5.688004953204458,1.1530799999999999,5
CC[C@]1([C@@H]2CCCCN2)NNc2c(C)ccc(OC)c21,0.7934512912191707,3.9560537270275695,2.68112,5
CN1CC=C2C3[C@@H](CCO[C@@H]3C1)N[C@@H]2c1ccccn1,0.7829482380195637,4.39508860452423,1.3713999999999997,5
CCN1O[C@@H](c2ccc(N)nc2)OCCCN(C)C1=O,0.8849831153028787,4.0514889701971875,1.388,5
CCC(=O)N(c1ccc2ncnc(CO)c2c1)C(C)C,0.9276621250617156,2.5571074037830464,2.2735000000000003,5
O=C1CC[C@@H]1[C@@H]1c2cccnc2O[C@@H]2C[C@H](O)CCC12,0.8506212178678224,4.1604941845168,2.0663,5
C[C@@H]1C(=O)NC2=C(NN(C)C2)[C@@H]1C(=O)C1CCCCC1,0.7954598730162148,4.150019950278004,1.1794999999999993,5
CCN(C)CC[C@@H](C1=NCC=NC1=O)c1ccccc1,0.7956298606952764,3.497381619347234,2.1640000000000006,5
C[C@@H]1CCCC2=C3C=CC=C[C@H]3N3C(=O)NCCC3=C21,0.718157437696084,4.3588179040483706,3.2806000000000015,5
C1=N[C@@H]2C(=N1)N=C(N[C@@H]1CCCOC1)c1cccnc12,0.8292799130620112,4.123015994234047,1.0918999999999996,5
CC(C)(C)CC1=NC(c2ccnnc2)C(C2CC2)=NN1,0.9190409569310787,4.1151249102668395,2.7216000000000005,5
C[C@@H]1C[C@@H]2CC[C@@]13[C@H]([C@@H](C)C2=O)[C@@H]1C[C@@]12NC=CN[C@H]23,0.7089309941257504,7.0618926231505394,2.0488999999999997,5
