smiles,QED,SA,logP,LipinskiCount
CCc1ccc(CS[C@H]2CCC=C(C)C2)c(C(N)=O)c1,0.8299650557453476,3.2481380970800275,4.079900000000003,5
CCCO[C@@H](O)[C@H]1CSC[C@]2(CCCO2)[C@@H]2SCN[C@@H]12,0.7690361116519355,5.841606804507777,1.6746999999999994,5
CC[C@@H](C)N[C@](O)(CN)CO,0.3915537591422212,4.111008337337642,-0.9858999999999993,5
CCCC=Cc1cc(F)cc([SH]2(O)(O)OC[C@H](N)O2)c1,0.6420477117263858,4.799165999177929,3.1781000000000015,5
O[C@@H]1C[C@@H](CCOCCCc2ccc(Cl)cc2)C[C@@H]1O,0.7611509032332422,3.1714531113192237,2.811100000000002,5
CCC[C@H]1ON[C@H](CNC(=O)C2=N[C@@H](CC)CS2)C1=O,0.7532926947416789,4.786934849318067,0.6676999999999997,5
C[C@@H]1O[C@H](SC(C)(C)C)CCN1CSC1CCCCC1,0.7277920943193618,4.272543576651628,4.935900000000005,5
CO[C@@H](CO)N(C[C@@H]1CCCCO[C@H]1C(C)=O)C(=O)O,0.6989107959416735,4.148027065435283,0.7055,5
CCCC(=O)N[C@@]1(S)[C@@H](N[C@H]2CCC[C@H](C)[C@@H]2C)N1C,0.41405960293398864,4.578687440539383,2.1721000000000004,5
CN(C)C1=CCCN(C(=O)NCCN2CC=CCC2)C1,0.783054228629305,3.104250208346903,1.1090999999999998,5
Cc1ccc(Oc2ccc(N[C@H](O)C(=O)O)cc2)cc1,0.7297115255511777,2.3755262838932136,2.60222,5
CC(C)(O)C[C@H](O)C[C@@H](O)C[C@H]1NC[C@@H](OCCO)S1,0.39652794009545855,4.920633237292593,-0.3530999999999991,5
C=C[C@@H]1C[C@H](N2CCC(S(O)(O)O)CC2)CCC1(C)C,0.6880993559777477,4.117165737823791,4.0553000000000035,5
O=C(NCc1csc(-c2nccs2)n1)C(=O)OCCO,0.6125560076542903,2.70952308284083,0.4183,5
C=CC[C@@H](CCCOc1ccc(C)cc1)N(C)CCO,0.5269175146883014,2.846419141036071,3.022820000000001,5
Cc1ccc2c(c1)OS[C@H]2O[C@H](C)C[C@@H]1C[C@H]1CCO,0.8089010875828062,4.634104222447787,3.847920000000003,5
CCCCC1=NS(=O)(=O)C(=C=CC2CCCC2)C(C)N1,0.8108631171091635,4.188146064112994,3.1258000000000017,5
C[C@H](O)CC[C@H]1N=C2Oc3cc(Cl)c(Cl)cc3C[C@@H]2S1,0.911855889328936,4.45400655261477,3.9293000000000022,5
C[C@H]1CCC[C@]1(C)NC[C@@H](C=N)OCSN1CCCC1,0.4109348002925093,5.013380236825297,2.890970000000001,5
CCC(=NC1=CC[C@@H](C)S1)NC(=O)C[C@@H](CO)[C@@H](C)O,0.5145050815247368,4.797501424409643,1.6572999999999998,5
CN1C[C@H](N2CC[C@H]3[C@@]4(N[C@@H]24)[C@@]32C=CC=C(F)C2)CO1,0.7267041600864206,6.469302924473469,1.0352999999999999,5
CC(=O)[C@H]1CC[C@H](CCCCC=CCCCCO)CC1,0.46653990174149534,2.419995147618158,4.661000000000004,5
CCC1CCN(C(=O)CCCN2CCN[C@@H](C)C2)CC1,0.8331229642718753,2.7641719027480427,1.7088999999999996,5
CCCN(C)CCC1=CCCCC1,0.5886114094367884,2.4280792510483273,3.218700000000002,5
Cc1sccc1C(=O)C(=O)O,0.5376585955810587,2.5289881347057186,1.32382,5
O=C(O)C[C@H](O)CCCCOCS[C@@H]1C[C@@H](O)CCN1,0.3493465147473373,4.177859849318067,0.77,5
C[C@H](O)[C@H](C)N[C@H]1Cc2nc(C3CCCCC3)sc2C1,0.8970186773973193,3.811060398768616,3.0169000000000015,5
O=C(N=CC1CCC1)[C@@H]1C[C@@H](C2CCCCC2)CCO1,0.7367155953313768,3.8146998669130916,3.759400000000003,5
CCC(=O)N[C@H](C=O)[C@@H](O)C[C@H]1SC(O)(O)C[C@@H]1OC,0.3516382151762625,4.76813347918906,-1.0099999999999991,5
O=C(C=NCC1CCCC1)CC[C@@H]1CC[C@H](O)[C@H]2CN12,0.595268401784671,4.3722111329601425,1.8042,5
COc1cc(Cl)ccc1NC(=O)c1ccc(O)cc1O,0.8126003393439765,1.8121339772096174,3.012100000000002,5
COc1ccc([C@@H]2ON[C@@H](C(=O)O)C[C@@H]2C2CC2)cc1,0.8822308015966738,3.622567266900486,2.1406,5
