smiles,QED,SA,logP,LipinskiCount
C=C1NCC[C@]12CCO[C@H]1[C@H](C=C[C@H](C(C)(C)c3ccc4c(c3)NCN4)O[C@@H]1C)C2,0.6326882432165123,5.68300173299018,4.391200000000003,5
C1=N[C@H](OC[C@H]2CCC[C@H]3[C@H](C[C@H]4N3C[C@@H](N3CCO[C@@H]5C[C@@H]53)C43CC3)O2)CCC1,0.7063816090054215,6.001644605923581,2.5999000000000008,5
C=C1[C@@H]2C3=NC=CC=C[C@@H]3[C@@H](CC(=O)NCCc3ncccn3)[C@]2(C)OC(=O)N1C,0.8076368119529023,4.768909061366344,2.2665000000000006,5
CO[C@@H]1CCN(C[C@H](O)COC2=CC=C[C@@H]3[C@]24O[C@]34c2cc(C)cc(O)c2)CCO1,0.6574630943206021,5.162375078249571,1.82072,5
C[C@@H]1[C@H]2[C@H](C)N3CCC[C@@H]4C5=C(C6=CC=CC(O)=C[C@H]6O5)N(C)CC[C@H]4O[C@H]3CN21,0.618862352694691,5.640361514502121,2.7685000000000013,5
CCOC(C)(C)[C@H]1NN[C@@H]2N1c1cccnc1[C@@]2(C)N,0.7530763280272738,4.7834757833840005,0.6506000000000005,5
COc1ccc([C@@H]2CC[C@@H]3N(Cc4ncnn4C(=O)c4ccccc4C)[C@@]32C)nc1,0.6093929362222045,4.208599405468207,3.1991200000000015,5
COC(=O)C(=Cc1ccccc1)[C@@H]1C[C@H]1[C@H]1O[C@H]2OCCN(C)[C@]2(C)[C@@H]1OC(C)C,0.5256647729855559,4.753144395834854,3.1183000000000014,5
Cc1nc2cc(F)ccc2c(=O)n1[C@@H]1C[C@@H](C)[C@H](N2C[C@@H]3OCCCN3[C@@H](C)C2)C1,0.7563884611992209,4.276554587568032,2.9361200000000016,5
CO[C@H]1C=C2CN([C@@H]3[C@H]4C[C@](C)(N5CCN(C)CC5)C5=NC=CC[C@@]543)CC[C@@H]2CC1,0.6698324892792946,5.648441233332462,2.796500000000001,5
CC1=NC2=N[C@H]3[C@H](C)N(C)C(Cc4nnc5n4CC(C)C5)[C@@]4(CN3C2=C1)OC4(C)C,0.6948142908057697,5.90250775062063,1.6614999999999998,5
Cc1cccc(C2CCN(C)[C@@H]3C4=C(C[C@H]23)N2CC2=CC(O[C@H]2CCCCN2)=C4)c1,0.7630161708221833,4.780460122657993,4.2699200000000035,5
C[C@H]1OC2(CC2)[C@@H]2C[C@@H](N(C)C3OCC[C@H]3[C@@H](O)[C@@H]3CN(CC=O)[C@H]4C[C@@H]34)CNN21,0.5826219132465372,6.5511761986801735,0.017200000000004545,5
CC1(C)CCN(C2=NC=NC2N2CCCN([C@H](C3=NCC=C3)C(C)(C)C)CC2)CC1,0.7144618038576194,4.575024729318357,3.3081000000000014,5
CCCC[C@@H](C(=C=C1Nc2cn(C)cc2N1CCC)CC)[C@H]1Cc2ccccc2O1,0.5261326769581042,4.3599621385575436,6.253800000000006,4
C=C([C@@H](CC)OCC(C)C)N1CC[C@@H](C2=CC[C@H]([C@@]3(C)CCC[C@H]3F)O[C@@H]2C)OC1,0.47340259522244643,5.185023311497504,5.631800000000006,4
C=C1[C@@H](C)CC(C)(C)[C@@]1(C)OC(=O)N1CCC=C(C[C@@]2(C)CC[C@@H](O)[C@H](N)[C@@H]2C)C1,0.6542318838389618,5.277094395834855,4.6505000000000045,5
CC1=C2C(=O)C=CN=C2NC[C@@H]1[C@H]1[C@@H]2NC[C@@H](N3CCc4ncncc43)[C@@H]3C[C@H]3[C@@H]21,0.7708325751217769,5.4326211825592035,1.0924,5
C=C1CO[C@]2(C)C(=C)[C@H](O)[C@@H](C)[C@H](C)[C@]12O[C@@H]1C=CC=CC2=C1N[C@@H]1CN(C)N[C@H]21,0.6028114832659308,6.15997255831961,1.8289,5
