"epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/raw_score_mean_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/raw_score_mean_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/raw_score_mean_epoch__MAX"
"0","1","1","1","0.18863323330879211","0.18863323330879211","0.18863323330879211","1","1","1","0.18613235652446747","0.18613235652446747","0.18613235652446747","1","1","1","0.19978336989879608","0.19978336989879608","0.19978336989879608"
"1","3","3","3","0.1969137191772461","0.1969137191772461","0.1969137191772461","3","3","3","0.19953057169914246","0.19953057169914246","0.19953057169914246","3","3","3","0.18514257669448853","0.18514257669448853","0.18514257669448853"
"2","5","5","5","0.20192214846611023","0.20192214846611023","0.20192214846611023","5","5","5","0.18708445131778717","0.18708445131778717","0.18708445131778717","5","5","5","0.18652650713920593","0.18652650713920593","0.18652650713920593"
"3","7","7","7","0.20159810781478882","0.20159810781478882","0.20159810781478882","7","7","7","0.20776402950286865","0.20776402950286865","0.20776402950286865","7","7","7","0.18199488520622253","0.18199488520622253","0.18199488520622253"
"4","9","9","9","0.2063608467578888","0.2063608467578888","0.2063608467578888","9","9","9","0.20157094299793243","0.20157094299793243","0.20157094299793243","9","9","9","0.19902727007865906","0.19902727007865906","0.19902727007865906"
"5","11","11","11","0.2118721753358841","0.2118721753358841","0.2118721753358841","11","11","11","0.19869163632392883","0.19869163632392883","0.19869163632392883","11","11","11","0.1897771954536438","0.1897771954536438","0.1897771954536438"
"6","13","13","13","0.20309729874134064","0.20309729874134064","0.20309729874134064","13","13","13","0.17740952968597412","0.17740952968597412","0.17740952968597412","13","13","13","0.18833541870117188","0.18833541870117188","0.18833541870117188"
"7","15","15","15","0.18449395895004272","0.18449395895004272","0.18449395895004272","15","15","15","0.1899081915616989","0.1899081915616989","0.1899081915616989","15","15","15","0.2097291350364685","0.2097291350364685","0.2097291350364685"
"8","17","17","17","0.19879299402236938","0.19879299402236938","0.19879299402236938","17","17","17","0.20099367201328278","0.20099367201328278","0.20099367201328278","17","17","17","0.1916111558675766","0.1916111558675766","0.1916111558675766"
"9","20","20","20","0.21165993809700012","0.21165993809700012","0.21165993809700012","20","20","20","0.19070766866207123","0.19070766866207123","0.19070766866207123","20","20","20","0.19547158479690552","0.19547158479690552","0.19547158479690552"
