"epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_1042 - train/reward_max_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_123 - train/reward_max_epoch__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - _step__MAX","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch__MIN","aripip_sim_identical_lr_1.5e-5_stepped_seed_42 - train/reward_max_epoch__MAX"
"0","1","1","1","0.45964911580085754","0.45964911580085754","0.45964911580085754","1","1","1","0.466412216424942","0.466412216424942","0.466412216424942","1","1","1","0.4660714268684387","0.4660714268684387","0.4660714268684387"
"1","3","3","3","0.5680328011512756","0.5680328011512756","0.5680328011512756","3","3","3","0.4333333373069763","0.4333333373069763","0.4333333373069763","3","3","3","0.4801653027534485","0.4801653027534485","0.4801653027534485"
"2","5","5","5","0.4495934844017029","0.4495934844017029","0.4495934844017029","5","5","5","0.43587785959243774","0.43587785959243774","0.43587785959243774","5","5","5","0.44426229596138","0.44426229596138","0.44426229596138"
"3","7","7","7","0.713274359703064","0.713274359703064","0.713274359703064","7","7","7","0.48345863819122314","0.48345863819122314","0.48345863819122314","7","7","7","0.446153849363327","0.446153849363327","0.446153849363327"
"4","9","9","9","0.567322850227356","0.567322850227356","0.567322850227356","9","9","9","0.5","0.5","0.5","9","9","9","0.4692307710647583","0.4692307710647583","0.4692307710647583"
"5","11","11","11","0.4362069070339203","0.4362069070339203","0.4362069070339203","11","11","11","0.6061403751373291","0.6061403751373291","0.6061403751373291","11","11","11","0.43802815675735474","0.43802815675735474","0.43802815675735474"
"6","13","13","13","0.49495798349380493","0.49495798349380493","0.49495798349380493","13","13","13","0.47096773982048035","0.47096773982048035","0.47096773982048035","13","13","13","0.49849623441696167","0.49849623441696167","0.49849623441696167"
"7","15","15","15","0.4559321999549866","0.4559321999549866","0.4559321999549866","15","15","15","0.5892523527145386","0.5892523527145386","0.5892523527145386","15","15","15","0.5706349015235901","0.5706349015235901","0.5706349015235901"
"8","17","17","17","0.4482142925262451","0.4482142925262451","0.4482142925262451","17","17","17","0.49259260296821594","0.49259260296821594","0.49259260296821594","17","17","17","0.47681158781051636","0.47681158781051636","0.47681158781051636"
"9","20","20","20","0.4603603482246399","0.4603603482246399","0.4603603482246399","20","20","20","0.5531007647514343","0.5531007647514343","0.5531007647514343","20","20","20","0.49259260296821594","0.49259260296821594","0.49259260296821594"
