"epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_max_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_max_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_max_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_max_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_max_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_max_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_max_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_max_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_max_epoch__MAX"
"0","1","1","1","0.20253165066242218","0.20253165066242218","0.20253165066242218","1","1","1","0.23999999463558197","0.23999999463558197","0.23999999463558197","17","1","33","0.21496477723121643","0.20915032923221588","0.22077922523021698"
"1","3","3","3","0.26530611515045166","0.26530611515045166","0.26530611515045166","3","3","3","0.25","0.25","0.25","19","3","35","0.22516556084156036","0.22516556084156036","0.22516556084156036"
"2","5","5","5","0.2266666740179062","0.2266666740179062","0.2266666740179062","5","5","5","0.2222222238779068","0.2222222238779068","0.2222222238779068","21","5","37","0.26530611515045166","0.26530611515045166","0.26530611515045166"
"3","7","7","7","0.21710526943206787","0.21710526943206787","0.21710526943206787","7","7","7","0.24832214415073395","0.24832214415073395","0.24832214415073395","23","7","39","0.23026315867900848","0.23026315867900848","0.23026315867900848"
"4","9","9","9","0.25170066952705383","0.25170066952705383","0.25170066952705383","9","9","9","0.24817518889904022","0.24817518889904022","0.24817518889904022","25","9","41","0.23648647964000702","0.23648647964000702","0.23648647964000702"
"5","11","11","11","0.23999999463558197","0.23999999463558197","0.23999999463558197","11","11","11","0.22123894095420837","0.22123894095420837","0.22123894095420837","27","11","43","0.24183006584644318","0.24183006584644318","0.24183006584644318"
"6","13","13","13","0.2448979616165161","0.2448979616165161","0.2448979616165161","13","13","13","0.25333333015441895","0.25333333015441895","0.25333333015441895","29","13","45","0.25","0.25","0.25"
"7","15","15","15","0.21705426275730133","0.21705426275730133","0.21705426275730133","15","15","15","0.2300885021686554","0.2300885021686554","0.2300885021686554","31","15","47","0.21487602591514587","0.21487602591514587","0.21487602591514587"
"8","17","17","17","0.21019108593463898","0.21019108593463898","0.21019108593463898","17","17","17","0.22516556084156036","0.22516556084156036","0.22516556084156036","33","17","49","0.2620689570903778","0.2620689570903778","0.2620689570903778"
"9","20","20","20","0.21153846383094788","0.21153846383094788","0.21153846383094788","20","20","20","0.25850340723991394","0.25850340723991394","0.25850340723991394","36","20","52","0.21568627655506134","0.21568627655506134","0.21568627655506134"
"10","22","22","22","0.23178808391094208","0.23178808391094208","0.23178808391094208","22","22","22","0.22580644488334656","0.22580644488334656","0.22580644488334656","38","22","54","0.2199999988079071","0.2199999988079071","0.2199999988079071"
"11","24","24","24","0.25333333015441895","0.25333333015441895","0.25333333015441895","24","24","24","0.25342464447021484","0.25342464447021484","0.25342464447021484","40","24","56","0.21477296203374863","0.21019108593463898","0.21935483813285828"
"12","26","26","26","0.21935483813285828","0.21935483813285828","0.21935483813285828","26","26","26","0.2847222089767456","0.2847222089767456","0.2847222089767456","42","26","58","0.20387515425682068","0.20129869878292084","0.20645160973072052"
"13","28","28","28","0.2567567527294159","0.2567567527294159","0.2567567527294159","28","28","28","0.21935483813285828","0.21935483813285828","0.21935483813285828","44","28","60","0.21929088979959488","0.21710526943206787","0.2214765101671219"
"14","30","30","30","0.2214765101671219","0.2214765101671219","0.2214765101671219","30","30","30","0.23648647964000702","0.23648647964000702","0.23648647964000702","46","30","62","0.2371794879436493","0.2371794879436493","0.2371794879436493"
"15","32","32","32","0.2432432472705841","0.2432432472705841","0.2432432472705841","32","32","32","0.22727273404598236","0.22727273404598236","0.22727273404598236","64","64","64","0.2448979616165161","0.2448979616165161","0.2448979616165161"
"16","34","34","34","0.21568627655506134","0.21568627655506134","0.21568627655506134","34","34","34","0.21192052960395813","0.21192052960395813","0.21192052960395813","66","66","66","0.2266666740179062","0.2266666740179062","0.2266666740179062"
"17","36","36","36","0.2142857164144516","0.2142857164144516","0.2142857164144516","36","36","36","0.2535211145877838","0.2535211145877838","0.2535211145877838","68","68","68","0.2380952388048172","0.2380952388048172","0.2380952388048172"
"18","38","38","38","0.22727273404598236","0.22727273404598236","0.22727273404598236","38","38","38","0.2620689570903778","0.2620689570903778","0.2620689570903778","70","70","70","0.22435897588729858","0.22435897588729858","0.22435897588729858"
"19","41","41","41","0.2266666740179062","0.2266666740179062","0.2266666740179062","41","41","41","0.22875817120075226","0.22875817120075226","0.22875817120075226","73","73","73","0.2448979616165161","0.2448979616165161","0.2448979616165161"
"20","43","43","43","0.2370370328426361","0.2370370328426361","0.2370370328426361","43","43","43","0.23333333432674408","0.23333333432674408","0.23333333432674408","75","75","75","0.22580644488334656","0.22580644488334656","0.22580644488334656"
"21","45","45","45","0.25850340723991394","0.25850340723991394","0.25850340723991394","45","45","45","0.24183006584644318","0.24183006584644318","0.24183006584644318","77","77","77","0.23255814611911774","0.23255814611911774","0.23255814611911774"
"22","47","47","47","0.2199999988079071","0.2199999988079071","0.2199999988079071","47","47","47","0.19354838132858276","0.19354838132858276","0.19354838132858276","79","79","79","0.2151898741722107","0.2151898741722107","0.2151898741722107"
"23","49","49","49","0.22077922523021698","0.22077922523021698","0.22077922523021698","49","49","49","0.234375","0.234375","0.234375","81","81","81","0.30281689763069153","0.30281689763069153","0.30281689763069153"
"24","51","51","51","0.23333333432674408","0.23333333432674408","0.23333333432674408","51","51","51","0.20779220759868622","0.20779220759868622","0.20779220759868622","83","83","83","0.20645160973072052","0.20645160973072052","0.20645160973072052"
"25","53","53","53","0.2384105920791626","0.2384105920791626","0.2384105920791626","53","53","53","0.25170066952705383","0.25170066952705383","0.25170066952705383","85","85","85","0.23648647964000702","0.23648647964000702","0.23648647964000702"
"26","55","55","55","0.22077922523021698","0.22077922523021698","0.22077922523021698","55","55","55","0.22727273404598236","0.22727273404598236","0.22727273404598236","87","87","87","0.23870967328548431","0.23870967328548431","0.23870967328548431"
"27","57","57","57","0.2281879186630249","0.2281879186630249","0.2281879186630249","57","57","57","0.20915032923221588","0.20915032923221588","0.20915032923221588","89","89","89","0.2432432472705841","0.2432432472705841","0.2432432472705841"
"28","59","59","59","0.25196850299835205","0.25196850299835205","0.25196850299835205","59","59","59","0.2708333432674408","0.2708333432674408","0.2708333432674408","91","91","91","0.23636363446712494","0.23636363446712494","0.23636363446712494"
"29","62","62","62","0.24666666984558105","0.24666666984558105","0.24666666984558105","62","62","62","0.21192052960395813","0.21192052960395813","0.21192052960395813","94","94","94","0.24025973677635193","0.24025973677635193","0.24025973677635193"
"30","64","64","64","0.2281879186630249","0.2281879186630249","0.2281879186630249","64","64","64","0.20915032923221588","0.20915032923221588","0.20915032923221588","96","96","96","0.2222222238779068","0.2222222238779068","0.2222222238779068"
"31","66","66","66","0.23999999463558197","0.23999999463558197","0.23999999463558197","66","66","66","0.22516556084156036","0.22516556084156036","0.22516556084156036","98","98","98","0.2266666740179062","0.2266666740179062","0.2266666740179062"
"32","68","68","68","0.2789115607738495","0.2789115607738495","0.2789115607738495","68","68","68","0.2752293646335602","0.2752293646335602","0.2752293646335602","100","100","100","0.22368420660495758","0.22368420660495758","0.22368420660495758"
"33","70","70","70","0.23376622796058655","0.23376622796058655","0.23376622796058655","70","70","70","0.22516556084156036","0.22516556084156036","0.22516556084156036","102","102","102","0.24657534062862396","0.24657534062862396","0.24657534062862396"
