"epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_mean_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_mean_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_123 - train/reward_mean_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_mean_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_mean_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_976 - train/reward_mean_epoch__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - _step__MAX","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_mean_epoch","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_mean_epoch__MIN","ari_sim_identical_lr_1e-6_clip_0.1_seed_42 - train/reward_mean_epoch__MAX"
"0","1","1","1","0.10522434860467911","0.10522434860467911","0.10522434860467911","1","1","1","0.11680442839860916","0.11680442839860916","0.11680442839860916","17","1","33","0.11570729687809944","0.11553386598825455","0.11588072776794434"
"1","3","3","3","0.10979132354259491","0.10979132354259491","0.10979132354259491","3","3","3","0.1119362935423851","0.1119362935423851","0.1119362935423851","19","3","35","0.10924777761101723","0.1092037484049797","0.10929180681705475"
"2","5","5","5","0.10502756386995316","0.10502756386995316","0.10502756386995316","5","5","5","0.10607780516147614","0.10607780516147614","0.10607780516147614","21","5","37","0.11620740592479706","0.11619047075510025","0.11622434109449387"
"3","7","7","7","0.1103663295507431","0.1103663295507431","0.1103663295507431","7","7","7","0.11250229179859161","0.11250229179859161","0.11250229179859161","23","7","39","0.10914276167750359","0.10913076996803284","0.10915475338697433"
"4","9","9","9","0.11105389893054962","0.11105389893054962","0.11105389893054962","9","9","9","0.11519411951303482","0.11519411951303482","0.11519411951303482","25","9","41","0.1163560338318348","0.1163024827837944","0.11640958487987518"
"5","11","11","11","0.10892163962125778","0.10892163962125778","0.10892163962125778","11","11","11","0.1074032336473465","0.1074032336473465","0.1074032336473465","27","11","43","0.11401887238025665","0.11391180008649826","0.11412594467401505"
"6","13","13","13","0.10150573402643204","0.10150573402643204","0.10150573402643204","13","13","13","0.12064634263515472","0.12064634263515472","0.12064634263515472","29","13","45","0.11073727533221245","0.11058197170495987","0.11089257895946503"
"7","15","15","15","0.10745946317911148","0.10745946317911148","0.10745946317911148","15","15","15","0.10369638353586197","0.10369638353586197","0.10369638353586197","31","15","47","0.11395148187875748","0.11383247375488281","0.11407049000263214"
"8","17","17","17","0.10843296349048615","0.10843296349048615","0.10843296349048615","17","17","17","0.11011563986539841","0.11011563986539841","0.11011563986539841","33","17","49","0.1085364781320095","0.10839782655239105","0.10867512971162796"
"9","20","20","20","0.10946457087993622","0.10946457087993622","0.10946457087993622","20","20","20","0.11225692927837372","0.11225692927837372","0.11225692927837372","36","20","52","0.10793968662619591","0.10721278190612793","0.10866659134626389"
