set,idx,sucos,features,shape
PRISM,0,0.44813787497644547,0.31059732479765245,0.5856784251552385
PRISM,1,0.4106833353347903,0.2433983329387099,0.5779683377308706
PRISM,2,0.32749082691823245,0.12408648615756336,0.5308951676789015
PRISM,3,0.3554588566942414,0.188133404842716,0.5227843085457667
PRISM,4,0.34639989405849475,0.11384545323942495,0.5789543348775645
PRISM,5,0.4240691660276621,0.27616161863907657,0.5719767134162477
PRISM,6,0.42253789485032744,0.29057592166159435,0.5544998680390605
PRISM,7,0.3394412845999141,0.153324518744142,0.5255580504556862
PRISM,8,0.31760364705269656,0.09682719881688065,0.5383800952885125
PRISM,9,0.39643294496889786,0.1928129868826444,0.6000529030551514
PRISM,10,0.4032826639223055,0.22714580277864788,0.5794195250659631
PRISM,11,0.33622201425517334,0.10396994658008021,0.5684740819302665
PRISM,12,0.4039978258025504,0.23445654066986804,0.5735391109352328
PRISM,13,0.4187650931405183,0.269991196061634,0.5675389902194026
PRISM,14,0.40737147730722467,0.28072260846568464,0.5340203461487647
PRISM,15,0.4205280179519739,0.2508964263537565,0.5901596095501913
PRISM,16,0.440114493067547,0.25125652850797536,0.6289724576271186
PRISM,17,0.33647856856964875,0.19102942629592407,0.4819277108433735
PRISM,18,0.3397273923214995,0.13926440918028085,0.5401903754627182
PRISM,19,0.4112646896375363,0.2638222552645185,0.5587071240105541
PRISM,20,0.4201933174977619,0.258686423131117,0.5817002118644068
PRISM,21,0.41883123390352905,0.2636347815842499,0.5740276862228082
PRISM,22,0.338023599285949,0.09425544381502692,0.5817917547568711
PRISM,23,0.33522947054013635,0.1680166968558502,0.5024422442244225
PRISM,24,0.4217227047093359,0.23716903811065498,0.6062763713080168
PRISM,25,0.44246017485052525,0.2337114713815896,0.651208878319461
PRISM,26,0.41649820491818357,0.2409763279233007,0.5920200819130664
PRISM,27,0.3775030964270337,0.21105596780773442,0.5439502250463331
PRISM,28,0.3368703470012314,0.19439747366347976,0.479343220338983
PRISM,29,0.3964080923904818,0.20834733969563485,0.5844688450853288
PRISM,30,0.4394986035579632,0.2882202515133894,0.5907769556025371
PRISM,31,0.37529135049872914,0.1962147938979597,0.5543679070994986
PRISM,32,0.5507647981801089,0.4552800924575854,0.6462495039026326
PRISM,33,0.3927234836263185,0.2075634951955621,0.5778834720570749
PRISM,34,0.3340267855802064,0.13170675646308264,0.5363468146973301
PRISM,35,0.33051693900830414,0.1557512578369993,0.505282620179609
PRISM,36,0.3653853416134982,0.1851124937422159,0.5456581894847806
PRISM,37,0.42194472302024333,0.21897201969618757,0.6249174263442991
PRISM,38,0.45598136188313554,0.3013959864781354,0.6105667372881356
PRISM,39,0.43143246489529685,0.24875814007404795,0.6141067897165458
PRISM,40,0.4087082787957398,0.21543635957167756,0.601980198019802
PRISM,41,0.36770261540722593,0.22285237669183022,0.5125528541226216
PRISM,42,0.44741200276849624,0.27363195255685996,0.6211920529801325
PRISM,43,0.3674213029449254,0.245472475162266,0.48937013072758484
PRISM,44,0.4264504982852137,0.2631980262733976,0.5897029702970298
PRISM,45,0.46367084964982386,0.2709429684693991,0.6563987308302486
PRISM,46,0.42477975848698,0.23775130141458875,0.6118082155593713
PRISM,47,0.36063833022011216,0.22431496955515157,0.4969616908850727
PRISM,48,0.36986145967523115,0.17965434490762963,0.5600685744428326
PRISM,49,0.46105293604241593,0.3152230130510794,0.6068828590337525
PRISM,50,0.38725198287089607,0.21704029335077504,0.5574636723910171
PRISM,51,0.36899238564214343,0.18241454953138295,0.5555702217529039
PRISM,52,0.2611012074891116,0.2145202608071567,0.3076821541710665
PRISM,53,0.37605064221558504,0.1966631980032594,0.5554380864279107
PRISM,54,0.5286302836837173,0.4204393753144545,0.6368211920529802
PRISM,55,0.2152542888584746,0.06695618922394314,0.3635523884930061
PRISM,56,0.4009504979591926,0.22617540225083896,0.5757255936675462
PRISM,57,0.43683052465967775,0.28151923161860143,0.592141817700754
PRISM,58,0.3877644706770549,0.15721945539756496,0.6183094859565448
PRISM,59,0.36963127810224533,0.1386813912328885,0.6005811649716022
PRISM,60,0.32391353868909145,0.15375749382520454,0.49406958355297836
PRISM,61,0.41435032672898126,0.24884644537313816,0.5798542080848244
PRISM,62,0.38640995029583186,0.2257174925472075,0.5471024080444562
PRISM,63,0.30517549671400107,0.1359090438836883,0.47444194954431385
PRISM,64,0.3799833978242877,0.15484265407435455,0.6051241415742208
PRISM,65,0.4585280012563723,0.2877001419002842,0.6293558606124604
PRISM,66,0.3975462652519031,0.2159363342334716,0.5791561962703347
PRISM,67,0.2857599373485128,0.08118107109723742,0.4903388035997882
PRISM,68,0.3617350523354112,0.22605665461113278,0.4974134500596896
PRISM,69,0.417747304424508,0.23948562246075128,0.5960089863882648
PRISM,70,0.3072867130292988,0.12586950215847867,0.48870392390011885
PRISM,71,0.3413223963665457,0.13973853860113317,0.5429062541319583
PRISM,72,0.42056363166774685,0.23104523105182082,0.6100820322836729
PRISM,73,0.3830431204597968,0.16402247587130694,0.6020637650482867
PRISM,74,0.3760624647868642,0.21531348889576246,0.536811440677966
PRISM,75,0.37325693646519437,0.18058853536088917,0.5659253375694996
PRISM,76,0.28995910364075006,0.07523421203146703,0.504683995250033
PRISM,77,0.3903931055099669,0.20928218355393627,0.5715040274659976
PRISM,78,0.41703246271159805,0.26637241452635296,0.5676925108968431
PRISM,79,0.3118357755760657,0.13936899452211418,0.4843025566300172
PRISM,80,0.342041069928357,0.14977750409512444,0.5343046357615895
PRISM,81,0.3087021962020869,0.10472610397311198,0.5126782884310618
PRISM,82,0.35414895792166357,0.1875197263250634,0.5207781895182637
PRISM,83,0.4440725766667597,0.2745508661079176,0.6135942872256017
PRISM,84,0.4068028541939043,0.20864463172861863,0.6049610766591899
PRISM,85,0.4811883322749878,0.2767871448993206,0.685589519650655
PRISM,86,0.45413415754610587,0.3219702063764333,0.5862981087157784
PRISM,87,0.4379220147842712,0.2874374652487964,0.5884065643197459
PRISM,88,0.43750414145203204,0.24144981382712058,0.6335584690769435
PRISM,89,0.35467865877683036,0.17249156702511942,0.5368657505285412
PRISM,90,0.41634522604646707,0.2278794555293602,0.604810996563574
PRISM,91,0.36714003294795744,0.16498622828681675,0.5692938376090981
PRISM,92,0.14555087264471187,0.11164842428057649,0.17945332100884726
PRISM,93,0.38127563724727365,0.2021813933849039,0.5603698811096434
PRISM,94,0.3696035851247471,0.16279083296359165,0.5764163372859026
PRISM,95,0.3750063558268577,0.1758506636199334,0.574162048033782
PRISM,96,0.38613060226825385,0.21786734535175392,0.5543938591847538
PRISM,97,0.36364025329429334,0.23051910539889733,0.49676140118968937
PRISM,98,0.4727075591503933,0.2733273224525783,0.6720877958482083
PRISM,99,0.3178214380274048,0.09093388134581494,0.5447089947089947
DiffSBDD,0,0.3764756112023937,0.15749607641456403,0.5954551459902233
DiffSBDD,1,0.2561804162018369,0.20359168290552276,0.30876914949815104
DiffSBDD,2,0.4273389194783406,0.23474384555734112,0.61993399339934
DiffSBDD,3,0.2496545445267565,0.05773174354603649,0.4415773455074765
DiffSBDD,4,0.3916393719452609,0.19716321659852387,0.5861155272919979
DiffSBDD,5,0.2815178786433363,0.07151932038317312,0.49151643690349944
DiffSBDD,6,0.38148221442529245,0.19531115189498235,0.5676532769556025
DiffSBDD,7,0.1684309155436064,0.0663667815822623,0.2704950495049505
DiffSBDD,8,0.2981837723101057,0.09008530682097853,0.5062822377992329
DiffSBDD,9,0.32268102042581315,0.10121528092025517,0.5441467599313712
DiffSBDD,10,0.36799056749204445,0.19835383700763073,0.5376272979764581
DiffSBDD,11,0.38312133324305647,0.16788092781521857,0.5983617386708944
DiffSBDD,12,0.2869820716392375,0.026109357799927232,0.5478547854785478
DiffSBDD,13,0.35335419218325015,0.11312761564374245,0.5935807687227579
DiffSBDD,14,0.3807923904883265,0.19929165241846422,0.5622931285581888
DiffSBDD,15,0.2115742722127847,0.009091205279050702,0.41405733914651865
DiffSBDD,16,0.32444129181432285,0.08111508032613575,0.5677675033025099
