"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_mean_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_mean_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_mean_epoch__MAX"
"0","1","1","1","0.27217164635658264","0.27217164635658264","0.27217164635658264","1","1","1","0.28353556990623474","0.28353556990623474","0.28353556990623474","1","1","1","0.2749914228916168","0.2749914228916168","0.2749914228916168"
"1","3","3","3","0.27914977073669434","0.27914977073669434","0.27914977073669434","3","3","3","0.28926169872283936","0.28926169872283936","0.28926169872283936","3","3","3","0.27499744296073914","0.27499744296073914","0.27499744296073914"
"2","5","5","5","0.2817464768886566","0.2817464768886566","0.2817464768886566","5","5","5","0.2753516435623169","0.2753516435623169","0.2753516435623169","5","5","5","0.28901463747024536","0.28901463747024536","0.28901463747024536"
"3","7","7","7","0.2821676433086395","0.2821676433086395","0.2821676433086395","7","7","7","0.2772365212440491","0.2772365212440491","0.2772365212440491","7","7","7","0.2745112478733063","0.2745112478733063","0.2745112478733063"
"4","9","9","9","0.27489757537841797","0.27489757537841797","0.27489757537841797","9","9","9","0.28491467237472534","0.28491467237472534","0.28491467237472534","9","9","9","0.28072020411491394","0.28072020411491394","0.28072020411491394"
"5","11","11","11","0.27840638160705566","0.27840638160705566","0.27840638160705566","11","11","11","0.2780771553516388","0.2780771553516388","0.2780771553516388","11","11","11","0.2733765244483948","0.2733765244483948","0.2733765244483948"
"6","13","13","13","0.28110840916633606","0.28110840916633606","0.28110840916633606","13","13","13","0.28417715430259705","0.28417715430259705","0.28417715430259705","13","13","13","0.28393274545669556","0.28393274545669556","0.28393274545669556"
"7","15","15","15","0.2777255177497864","0.2777255177497864","0.2777255177497864","15","15","15","0.27120453119277954","0.27120453119277954","0.27120453119277954","15","15","15","0.28648456931114197","0.28648456931114197","0.28648456931114197"
"8","17","17","17","0.28818178176879883","0.28818178176879883","0.28818178176879883","17","17","17","0.2698429822921753","0.2698429822921753","0.2698429822921753","17","17","17","0.2740207612514496","0.2740207612514496","0.2740207612514496"
"9","20","20","20","0.2860892713069916","0.2860892713069916","0.2860892713069916","20","20","20","0.26803427934646606","0.26803427934646606","0.26803427934646606","20","20","20","0.28914815187454224","0.28914815187454224","0.28914815187454224"
"10","22","22","22","0.27657419443130493","0.27657419443130493","0.27657419443130493","22","22","22","0.26723751425743103","0.26723751425743103","0.26723751425743103","22","22","22","0.27852192521095276","0.27852192521095276","0.27852192521095276"
"11","24","24","24","0.27864518761634827","0.27864518761634827","0.27864518761634827","24","24","24","0.2935595214366913","0.2935595214366913","0.2935595214366913","24","24","24","0.2834358811378479","0.2834358811378479","0.2834358811378479"
"12","26","26","26","0.28261104226112366","0.28261104226112366","0.28261104226112366","26","26","26","0.2655324637889862","0.2655324637889862","0.2655324637889862","26","26","26","0.2793629765510559","0.2793629765510559","0.2793629765510559"
"13","28","28","28","0.2861330211162567","0.2861330211162567","0.2861330211162567","28","28","28","0.27585217356681824","0.27585217356681824","0.27585217356681824","28","28","28","0.2766735851764679","0.2766735851764679","0.2766735851764679"
"14","30","30","30","0.2923398017883301","0.2923398017883301","0.2923398017883301","30","30","30","0.2830458879470825","0.2830458879470825","0.2830458879470825","30","30","30","0.286837100982666","0.286837100982666","0.286837100982666"
"15","32","32","32","0.2762007713317871","0.2762007713317871","0.2762007713317871","32","32","32","0.2806444764137268","0.2806444764137268","0.2806444764137268","32","32","32","0.2830009162425995","0.2830009162425995","0.2830009162425995"
"16","34","34","34","0.276068776845932","0.276068776845932","0.276068776845932","34","34","34","0.29729336500167847","0.29729336500167847","0.29729336500167847","34","34","34","0.28237205743789673","0.28237205743789673","0.28237205743789673"
"17","36","36","36","0.28862813115119934","0.28862813115119934","0.28862813115119934","36","36","36","0.2924875319004059","0.2924875319004059","0.2924875319004059","36","36","36","0.2894214987754822","0.2894214987754822","0.2894214987754822"
"18","38","38","38","0.28824663162231445","0.28824663162231445","0.28824663162231445","38","38","38","0.28726643323898315","0.28726643323898315","0.28726643323898315","38","38","38","0.27976420521736145","0.27976420521736145","0.27976420521736145"
"19","41","41","41","0.2867584824562073","0.2867584824562073","0.2867584824562073","41","41","41","0.2850024402141571","0.2850024402141571","0.2850024402141571","40","40","40","0.2952270209789276","0.2952270209789276","0.2952270209789276"
"20","43","43","43","0.2821260988712311","0.2821260988712311","0.2821260988712311","43","43","43","0.27991750836372375","0.27991750836372375","0.27991750836372375","42","42","42","0.2843903601169586","0.2843903601169586","0.2843903601169586"
"21","45","45","45","0.280405730009079","0.280405730009079","0.280405730009079","45","45","45","0.2946673035621643","0.2946673035621643","0.2946673035621643","44","44","44","0.27086833119392395","0.27086833119392395","0.27086833119392395"
"22","47","47","47","0.2962619960308075","0.2962619960308075","0.2962619960308075","47","47","47","0.2869570553302765","0.2869570553302765","0.2869570553302765","46","46","46","0.2811247706413269","0.2811247706413269","0.2811247706413269"
"23","49","49","49","0.29232195019721985","0.29232195019721985","0.29232195019721985","49","49","49","0.286016583442688","0.286016583442688","0.286016583442688","48","48","48","0.28606635332107544","0.28606635332107544","0.28606635332107544"
"24","51","51","51","0.2846634089946747","0.2846634089946747","0.2846634089946747","51","51","51","0.2906615734100342","0.2906615734100342","0.2906615734100342","50","50","50","0.2858524024486542","0.2858524024486542","0.2858524024486542"
"25","53","53","53","0.2970145642757416","0.2970145642757416","0.2970145642757416","53","53","53","0.29743289947509766","0.29743289947509766","0.29743289947509766","52","52","52","0.2966803014278412","0.2966803014278412","0.2966803014278412"
"26","55","55","55","0.29370608925819397","0.29370608925819397","0.29370608925819397","55","55","55","0.28715476393699646","0.28715476393699646","0.28715476393699646","54","54","54","0.27716177701950073","0.27716177701950073","0.27716177701950073"
"27","57","57","57","0.29799607396125793","0.29799607396125793","0.29799607396125793","57","57","57","0.29301396012306213","0.29301396012306213","0.29301396012306213","56","56","56","0.2741205394268036","0.2741205394268036","0.2741205394268036"
"28","59","59","59","0.2935619056224823","0.2935619056224823","0.2935619056224823","59","59","59","0.28981778025627136","0.28981778025627136","0.28981778025627136","58","58","58","0.28472453355789185","0.28472453355789185","0.28472453355789185"
"29","62","62","62","0.29505759477615356","0.29505759477615356","0.29505759477615356","62","62","62","0.29683437943458557","0.29683437943458557","0.29683437943458557","61","61","61","0.2945626974105835","0.2945626974105835","0.2945626974105835"
"30","64","64","64","0.28908976912498474","0.28908976912498474","0.28908976912498474","64","64","64","0.2889544367790222","0.2889544367790222","0.2889544367790222","63","63","63","0.27500757575035095","0.27500757575035095","0.27500757575035095"
"31","66","66","66","0.2875738739967346","0.2875738739967346","0.2875738739967346","66","66","66","0.28463253378868103","0.28463253378868103","0.28463253378868103","65","65","65","0.28372061252593994","0.28372061252593994","0.28372061252593994"
"32","68","68","68","0.28800684213638306","0.28800684213638306","0.28800684213638306","68","68","68","0.28835612535476685","0.28835612535476685","0.28835612535476685","67","67","67","0.29189154505729675","0.29189154505729675","0.29189154505729675"
"33","70","70","70","0.3045007884502411","0.3045007884502411","0.3045007884502411","70","70","70","0.2966901361942291","0.2966901361942291","0.2966901361942291","69","69","69","0.28081214427948","0.28081214427948","0.28081214427948"
"34","72","72","72","0.29113873839378357","0.29113873839378357","0.29113873839378357","72","72","72","0.2988334596157074","0.2988334596157074","0.2988334596157074","71","71","71","0.2857528030872345","0.2857528030872345","0.2857528030872345"
"35","74","74","74","0.28977546095848083","0.28977546095848083","0.28977546095848083","74","74","74","0.29892879724502563","0.29892879724502563","0.29892879724502563","73","73","73","0.2740729749202728","0.2740729749202728","0.2740729749202728"
"36","76","76","76","0.2950984537601471","0.2950984537601471","0.2950984537601471","76","76","76","0.27981171011924744","0.27981171011924744","0.27981171011924744","75","75","75","0.28833943605422974","0.28833943605422974","0.28833943605422974"
"37","78","78","78","0.2957055866718292","0.2957055866718292","0.2957055866718292","78","78","78","0.29996660351753235","0.29996660351753235","0.29996660351753235","77","77","77","0.30085334181785583","0.30085334181785583","0.30085334181785583"
"38","80","80","80","0.2943250238895416","0.2943250238895416","0.2943250238895416","80","80","80","0.2988682687282562","0.2988682687282562","0.2988682687282562","79","79","79","0.2964071035385132","0.2964071035385132","0.2964071035385132"
"39","83","83","83","0.28903257846832275","0.28903257846832275","0.28903257846832275","83","83","83","0.30008646845817566","0.30008646845817566","0.30008646845817566","82","82","82","0.28949952125549316","0.28949952125549316","0.28949952125549316"
"40","85","85","85","0.2767728269100189","0.2767728269100189","0.2767728269100189","85","85","85","0.29385584592819214","0.29385584592819214","0.29385584592819214","84","84","84","0.300788015127182","0.300788015127182","0.300788015127182"
"41","87","87","87","0.29068154096603394","0.29068154096603394","0.29068154096603394","87","87","87","0.29071044921875","0.29071044921875","0.29071044921875","86","86","86","0.2861980199813843","0.2861980199813843","0.2861980199813843"
"42","89","89","89","0.2923727035522461","0.2923727035522461","0.2923727035522461","89","89","89","0.2978799343109131","0.2978799343109131","0.2978799343109131","88","88","88","0.29979532957077026","0.29979532957077026","0.29979532957077026"
"43","91","91","91","0.3057989180088043","0.3057989180088043","0.3057989180088043","91","91","91","0.294437438249588","0.294437438249588","0.294437438249588","90","90","90","0.28806453943252563","0.28806453943252563","0.28806453943252563"
"44","93","93","93","0.29367414116859436","0.29367414116859436","0.29367414116859436","93","93","93","0.28810083866119385","0.28810083866119385","0.28810083866119385","92","92","92","0.2876194417476654","0.2876194417476654","0.2876194417476654"
"45","95","95","95","0.2963114380836487","0.2963114380836487","0.2963114380836487","95","95","95","0.2901630997657776","0.2901630997657776","0.2901630997657776","94","94","94","0.294903427362442","0.294903427362442","0.294903427362442"
"46","97","97","97","0.2989807426929474","0.2989807426929474","0.2989807426929474","97","97","97","0.29852646589279175","0.29852646589279175","0.29852646589279175","96","96","96","0.28852319717407227","0.28852319717407227","0.28852319717407227"
