"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/raw_score_max_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/raw_score_max_epoch__MAX"
"0","1","1","1","0.4129469394683838","0.4129469394683838","0.4129469394683838","1","1","1","0.4139311909675598","0.4139311909675598","0.4139311909675598","1","1","1","0.48561325669288635","0.48561325669288635","0.48561325669288635"
"1","3","3","3","0.44128862023353577","0.44128862023353577","0.44128862023353577","3","3","3","0.43887755274772644","0.43887755274772644","0.43887755274772644","3","3","3","0.4412406384944916","0.4412406384944916","0.4412406384944916"
"2","5","5","5","0.45756620168685913","0.45756620168685913","0.45756620168685913","5","5","5","0.45020556449890137","0.45020556449890137","0.45020556449890137","5","5","5","0.4375578463077545","0.4375578463077545","0.4375578463077545"
"3","7","7","7","0.41185370087623596","0.41185370087623596","0.41185370087623596","7","7","7","0.41824036836624146","0.41824036836624146","0.41824036836624146","7","7","7","0.43213069438934326","0.43213069438934326","0.43213069438934326"
"4","9","9","9","0.48019272089004517","0.48019272089004517","0.48019272089004517","9","9","9","0.49431565403938293","0.49431565403938293","0.49431565403938293","9","9","9","0.40645283460617065","0.40645283460617065","0.40645283460617065"
"5","11","11","11","0.4128258526325226","0.4128258526325226","0.4128258526325226","11","11","11","0.44284525513648987","0.44284525513648987","0.44284525513648987","11","11","11","0.45008736848831177","0.45008736848831177","0.45008736848831177"
"6","13","13","13","0.434121310710907","0.434121310710907","0.434121310710907","13","13","13","0.43267109990119934","0.43267109990119934","0.43267109990119934","13","13","13","0.4752848148345947","0.4752848148345947","0.4752848148345947"
"7","15","15","15","0.42316633462905884","0.42316633462905884","0.42316633462905884","15","15","15","0.44070109724998474","0.44070109724998474","0.44070109724998474","15","15","15","0.48576778173446655","0.48576778173446655","0.48576778173446655"
"8","17","17","17","0.4646824896335602","0.4646824896335602","0.4646824896335602","17","17","17","0.4419706165790558","0.4419706165790558","0.4419706165790558","17","17","17","0.44245633482933044","0.44245633482933044","0.44245633482933044"
"9","20","20","20","0.4471810460090637","0.4471810460090637","0.4471810460090637","20","20","20","0.4437605142593384","0.4437605142593384","0.4437605142593384","20","20","20","0.448506236076355","0.448506236076355","0.448506236076355"
