"epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_123 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_42 - train/clipfrac_epoch__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - _step__MAX","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MIN","SuCOS_lr_1e-5_clip_0.1_centered_rewards_seed_976 - train/clipfrac_epoch__MAX"
"0","1","1","1","0.0018253967864438891","0.0018253967864438891","0.0018253967864438891","1","1","1","0.0015873016091063619","0.0015873016091063619","0.0015873016091063619","1","1","1","0.0010582010727375746","0.0010582010727375746","0.0010582010727375746"
"1","3","3","3","0.00148148147854954","0.00148148147854954","0.00148148147854954","3","3","3","0.0014021163806319237","0.0014021163806319237","0.0014021163806319237","3","3","3","0.0011111111380159855","0.0011111111380159855","0.0011111111380159855"
"2","5","5","5","0.0006349206087179482","0.0006349206087179482","0.0006349206087179482","5","5","5","0.0017195766558870673","0.0017195766558870673","0.0017195766558870673","5","5","5","0.001243386184796691","0.001243386184796691","0.001243386184796691"
"3","7","7","7","0.0011111111380159855","0.0011111111380159855","0.0011111111380159855","7","7","7","0.00216931221075356","0.00216931221075356","0.00216931221075356","7","7","7","0.0023015872575342655","0.0023015872575342655","0.0023015872575342655"
"4","9","9","9","0.0013492063153535128","0.0013492063153535128","0.0013492063153535128","9","9","9","0.0013227512827143073","0.0013227512827143073","0.0013227512827143073","9","9","9","0.00148148147854954","0.00148148147854954","0.00148148147854954"
"5","11","11","11","0.0010317460400983691","0.0010317460400983691","0.0010317460400983691","11","11","11","0.0016666665906086564","0.0016666665906086564","0.0016666665906086564","11","11","11","0.0006613756413571537","0.0006613756413571537","0.0006613756413571537"
"6","13","13","13","0.00039682537317276","0.00039682537317276","0.00039682537317276","13","13","13","0.0014550264459103346","0.0014550264459103346","0.0014550264459103346","13","13","13","0.0007142857066355646","0.0007142857066355646","0.0007142857066355646"
"7","15","15","15","0.00074074073927477","0.00074074073927477","0.00074074073927477","15","15","15","0.0010582010727375746","0.0010582010727375746","0.0010582010727375746","15","15","15","0.0011640210868790746","0.0011640210868790746","0.0011640210868790746"
"8","17","17","17","0.0007936508045531809","0.0007936508045531809","0.0007936508045531809","17","17","17","0.0017460316885262728","0.0017460316885262728","0.0017460316885262728","17","17","17","0.0006878306739963591","0.0006878306739963591","0.0006878306739963591"
"9","20","20","20","0.0006349206087179482","0.0006349206087179482","0.0006349206087179482","20","20","20","0.0018253967864438891","0.0018253967864438891","0.0018253967864438891","20","20","20","0.0005026455037295818","0.0005026455037295818","0.0005026455037295818"
